DATE,T10Y2Y
2016-05-03,1.06
2016-05-04,1.04
DATE,T10Y2Y
2016-05-04,1.04
2016-05-05,1.04
DATE,T10Y2Y
2016-05-05,1.04
2016-05-06,1.05
DATE,T10Y2Y
2016-05-06,1.05
2016-05-09,1.05
DATE,T10Y2Y
2016-05-09,1.05
2016-05-10,1.05
DATE,T10Y2Y
2016-05-10,1.05
2016-05-11,0.99
DATE,T10Y2Y
2016-05-11,0.99
2016-05-12,0.99
DATE,T10Y2Y
2016-05-12,0.99
2016-05-13,0.95
DATE,T10Y2Y
2016-05-13,0.95
2016-05-16,0.96
DATE,T10Y2Y
2016-05-16,0.96
2016-05-17,0.94
DATE,T10Y2Y
2016-05-17,0.94
2016-05-18,0.97
DATE,T10Y2Y
2016-05-18,0.97
2016-05-19,0.96
DATE,T10Y2Y
2016-05-19,0.96
2016-05-20,0.96
DATE,T10Y2Y
2016-05-20,0.96
2016-05-23,0.93
DATE,T10Y2Y
2016-05-23,0.93
2016-05-24,0.94
DATE,T10Y2Y
2016-05-24,0.94
2016-05-25,0.95
DATE,T10Y2Y
2016-05-25,0.95
2016-05-26,0.96
DATE,T10Y2Y
2016-05-26,0.96
2016-05-27,0.95
DATE,T10Y2Y
2016-05-27,0.95
2016-05-30,.
2016-05-31,0.97
DATE,T10Y2Y
2016-05-31,0.97
2016-06-01,0.94
DATE,T10Y2Y
2016-06-01,0.94
2016-06-02,0.92
DATE,T10Y2Y
2016-06-02,0.92
2016-06-03,0.93
DATE,T10Y2Y
2016-06-03,0.93
2016-06-06,0.93
DATE,T10Y2Y
2016-06-06,0.93
2016-06-07,0.94
2016-06-08,0.93
DATE,T10Y2Y
2016-06-08,0.93
2016-06-09,0.91
DATE,T10Y2Y
2016-06-09,0.91
2016-06-10,0.91
DATE,T10Y2Y
2016-06-10,0.91
2016-06-13,0.89
DATE,T10Y2Y
2016-06-13,0.89
2016-06-14,0.88
DATE,T10Y2Y
2016-06-14,0.88
2016-06-15,0.91
DATE,T10Y2Y
2016-06-15,0.91
2016-06-16,0.87
DATE,T10Y2Y
2016-06-16,0.87
2016-06-17,0.92
DATE,T10Y2Y
2016-06-17,0.92
2016-06-20,0.93
DATE,T10Y2Y
2016-06-20,0.93
2016-06-21,0.95
DATE,T10Y2Y
2016-06-21,0.95
2016-06-22,0.94
DATE,T10Y2Y
2016-06-22,0.94
2016-06-23,0.96
DATE,T10Y2Y
2016-06-23,0.96
2016-06-24,0.93
DATE,T10Y2Y
2016-06-24,0.93
2016-06-27,0.85
DATE,T10Y2Y
2016-06-27,0.85
2016-06-28,0.85
DATE,T10Y2Y
2016-06-28,0.85
2016-06-29,0.88
DATE,T10Y2Y
2016-06-29,0.88
2016-06-30,0.91
DATE,T10Y2Y
2016-06-30,0.91
2016-07-01,0.87
DATE,T10Y2Y
2016-07-01,0.87
2016-07-04,.
2016-07-05,0.81
DATE,T10Y2Y
2016-07-05,0.81
2016-07-06,0.80
DATE,T10Y2Y
2016-07-06,0.80
2016-07-07,0.82
DATE,T10Y2Y
2016-07-07,0.82
2016-07-08,0.76
DATE,T10Y2Y
2016-07-08,0.76
2016-07-11,0.77
DATE,T10Y2Y
2016-07-11,0.77
2016-07-12,0.84
DATE,T10Y2Y
2016-07-12,0.84
2016-07-13,0.80
DATE,T10Y2Y
2016-07-13,0.80
2016-07-14,0.85
DATE,T10Y2Y
2016-07-14,0.85
2016-07-15,0.89
DATE,T10Y2Y
2016-07-15,0.89
2016-07-18,0.91
DATE,T10Y2Y
2016-07-18,0.91
2016-07-19,0.86
DATE,T10Y2Y
2016-07-19,0.86
2016-07-20,0.86
DATE,T10Y2Y
2016-07-20,0.86
2016-07-21,0.87
DATE,T10Y2Y
